Generated On,Energy Yield (kWh),Irradiance(W/m²),Temp ( c ) ,Rain (mm),Wind (kn),Income,Wind (km/hr),Dust (ug/m3)
"2020-09-10	",1486.5,20690,27.9,31.1,25,5946,46.3,8
"2020-09-11	",1425.41,18137,27.1,0.1,14,5701.64,25.928,11
"2020-09-12	",1696.33,23256,27.8,29.5,18,6785.32,33.336,9
"2020-09-14	",1230.48,15289,26.7,22.6,12,4921.92,22.224,9
"2020-09-15	",1100.71,14101,26,4.9,15,4402.84,27.78,10
"2020-09-16	",1122.36,13045,26.8,7.2,15,4489.44,27.78,6
"2020-09-17	",1339.51,15499,26.4,7.6,16,5358.04,29.632,6
"2020-09-18	",751.69,9202,25,38.6,10,3006.76,18.52 ,5
"2020-09-19	",796.7,9633,25.5,5.2,15,3186.8,27.78,5
"2020-09-21	",1260.25,15956,27.7,0,12,5041,22.224,15
"2020-09-22	",1517.01,19790,28,0,8,6068.04,14.816,13
"2020-09-23	",1353.73,17050,28.3,14,13,5414.92,24.076,16
"2020-09-24	",990.81,12150,26.3,9.3,10,3963.24,18.52 ,8
"2020-09-25	",1360.94,17802,26.4,3.5,27,5443.76,50.004,7
"2020-09-26	",1467.48,18679,27.7,0,10,5869.92,18.52 ,9
"2020-09-27	",921.72,11794,26.5,6.2,11,3686.88,20.37,10
"2020-09-29	",1150.8,15417,25.8,0.7,26,4603.2,48.152,9
"2020-09-30	",1767.63,23146,28.6,0,13,7070.52,24.076,13
"2020-10-01	",1079.72,13745,26,1.4,19,4318.88,35.188,9
"2020-10-02	",1404.09,17229,27.1,0.2,13,5616.36,24.076,7
"2020-10-03	",1051.73,12867,26.7,0,11,4206.92,20.37,7
"2020-10-04	",1683.85,21497,27.7,0,11,6735.4,20.37,9
"2020-10-05	",1540.24,19914,28.3,3.2,13,6160.96,24.076,11
"2020-10-06	",1050.67,12789,27.4,3.2,15,4202.68,27.78,8
"2020-10-07	",926.18,10896,25.5,45.4,17,3704.72,31.484,9
"2020-10-08	",1305.48,16128,26.3,0,10,5221.92,18.52 ,8
"2020-10-09	",1021.08,13380,26.5,7.1,15,4084.32,27.78,9
"2020-10-10	",1030.93,0,26.3,3.7,10,4123.72,18.52 ,9
"2020-10-11	",855.56,10417,25.8,8.8,15,3422.24,27.78,9
"2020-10-12	",1113.4,13495,26.2,7.3,10,4453.6,18.52 ,6
"2020-10-13	",961.72,11694,26.2,2.3,7,3846.88,12.96,10
"2020-10-14	",978.12,11746,26.2,24.2,13,3912.48,24.076,8
"2020-10-15	",1068.72,12821,26.1,0.2,10,4274.88,18.52 ,8
"2020-10-16	",1030.41,12480,25.7,12.9,22,4121.64,40.744,9
"2020-10-17	",844.16,10857,25.7,22.8,10,3376.64,18.52 ,7
