Generated On,Energy Yield (kWh),Irradiance(W/m²,Temp ( C ),Rain (mm),Wind (kn),Wind (km/hr),Dust (ug/m3)
"2019-12-23	",1595.44,21323,26.6,0,12,22.224,23
"2019-12-24	",1049,13393,26.5,0,10,18.52,21
"2019-12-25	",1482.09,19657,26.7,0,13,24.076,20
"2019-12-26	",1287.68,17094,25.8,0,8,14.816,20
"2019-12-27	",1505.32,19606,26.2,0,13,24.076,23
"2019-12-28	",1503.45,19944,25.9,0,13,24.076,22
"2019-12-29	",1574.88,20065,26,0,9,16.668,23
"2019-12-30	",1524.05,19249,26.1,0,12,22.224,19
"2019-12-31	",1286.24,18642,26.7,0,13,24.076,16
,1198.725484,15446.45161,25.91935484,1.522580645,12.77419355,,17.90322581
,,,,,,,
???????? : ,T ??????????????????? 0.1 mm,,,,,,
, - ??? n/a ???????????,,,,,,
,,,,,,,
